"Ticker","Company","2016","2015","2014","2013","2012","2011","2010","2009","2008"
"CI","Cigna Corp.","X","X","X","X","X","X","X","X","X"
"CIEN","Ciena Corp.","","","","","","","","X","X"
"CINF","Cincinnati Financial","X","X","X","X","X","X","X","X","X"
"CIT","CIT Group Inc.","","","","","","","","X","X"
"CL","Colgate-Palmolive","X","X","X","X","X","X","X","X","X"
"CLF","Cliffs Natural Resources","","","X","X","X","X","X","",""
"CLX","The Clorox Company","X","X","X","X","X","X","X","X","X"
"CMA","Comerica Inc.","X","X","X","X","X","X","X","X","X"
"CMCSA","Comcast Class A Comm.","X","X","X","X","X","X","X","X","X"
"CME","CME Group Inc.","X","X","X","X","X","X","X","X","X"
"CMG","Chipotle Mexican Grill","X","X","X","X","X","","","",""
"CMI","Cummins Inc.","X","X","X","X","X","X","X","X","X"
"CMS","CMS Energy","X","X","X","X","X","X","X","X","X"
"CNP","CenterPoint Energy","X","X","X","X","X","X","X","X","X"
"CNX","Consol Energy Inc.","X","X","X","X","X","X","X","X","X"
"COF","Capital One Financial","X","X","X","X","X","X","X","X","X"
"COG","Cabot Oil & Gas","X","X","X","X","X","X","X","X",""
"COH","Coach Inc.","X","X","X","X","X","X","X","X","X"
"COL","Rockwell Collins","X","X","X","X","X","X","X","X","X"
"COP","ConocoPhillips","X","X","X","X","X","X","X","X","X"
"COST","Costco Co.","X","X","X","X","X","X","X","X","X"
"COV","Covidien","","X","X","X","X","","","X","X"
"CPB","Campbell Soup","X","X","X","X","X","X","X","X","X"
"CPGX","Columbia Pipeline Group Inc.","X","","","","","","","",""
"CPWR","Compuware","","","","","","X","X","X","X"
"CRM","Salesforce.com","X","X","X","X","X","X","X","X",""
"CSC","Computer Sciences Corp.","","X","X","X","X","X","X","X","X"
"CSCO","Cisco Systems","X","X","X","X","X","X","X","X","X"
"CSRA","CSRA Inc","X","","","","","","","",""
"CSX","CSX Corp.","X","X","X","X","X","X","X","X","X"
"CTAS","Cintas Corp.","X","X","X","X","X","X","X","X","X"
"CTL","CenturyLink Inc.","X","X","X","X","X","X","X","X","X"
"CTSH","Cognizant Technology Sol.","X","X","X","X","X","X","X","X","X"
"CTX","Centex Corp.","","","","","","","","X","X"
"CTXS","Citrix Systems","X","X","X","X","X","X","X","X","X"
"CVC","Cablevision Systems Corp.","X","X","X","X","X","X","","",""
"CVG","Convergys Corp.","","","","","","","","X","X"
"CVH","Coventry Health Care","","","","X","X","X","X","X","X"
"CVS","CVS Health Corp.","X","X","X","X","X","X","X","X","X"
"CVX","Chevron Corp.","X","X","X","X","X","X","X","X","X"
"CZR","Ceasar's Entertainment Corp","","","","","","","","","X"
"D","Dominion Resources","X","X","X","X","X","X","X","X","X"
"DAL","Delta Air Lines","X","X","X","","","","","",""
"DD","DuPont","X","X","X","X","X","X","X","X","X"
"DDR","DDR Corp.","","","","","","","","X","X"
"DDS","Dillard's Inc.","","","","","","","","","X"
"DE","Deere & Co.","X","X","X","X","X","X","X","X","X"
"DELL","Dell, Inc.","","","","X","X","X","X","X","X"
"DF","Dean Foods","","","","X","X","X","X","X","X"
"DFS","Discover Financial Services","X","X","X","X","X","X","X","X","X"
"DG","Dollar General","X","X","X","X","","","","",""
"DGX","Quest Diagnostics","X","X","X","X","X","X","X","X","X"
"DHI","D. R. Horton","X","X","X","X","X","X","X","X","X"
"DHR","Danaher Corp.","X","X","X","X","X","X","X","X","X"
"DIS","The Walt Disney Co.","X","X","X","X","X","X","X","X","X"
"DISCA","Discovery Com Class A","X","X","X","X","X","X","","",""
"DISCK","Discovery Com Class C","X","X","","","","","","",""
"DLPH","Delphi Automotive","X","X","X","X","","","","",""
"DLTR","Dollar Tree","X","X","X","X","X","","","",""
"DNB","Dun & Bradstreet","X","X","X","X","X","X","X","X",""
"DNR","Denbury Resources Inc.","","X","X","X","X","X","X","",""
"DO","Diamond Offshore Drilling","X","X","X","X","X","X","X","",""
"DOV","Dover Corp.","X","X","X","X","X","X","X","X","X"
"DOW","Dow Chemical","X","X","X","X","X","X","X","X","X"
"DPS","Dr Pepper Snapple Group","X","X","X","X","X","X","X","X",""
"DRI","Darden Restaurants","X","X","X","X","X","X","X","X","X"
"DTE","DTE Energy Co.","X","X","X","X","X","X","X","X","X"
"DTV","DirecTV","","X","X","X","X","X","X","X","X"
"DUK","Duke Energy","X","X","X","X","X","X","X","X","X"
"DV","DeVry, Inc.","","","","","X","X","X","",""
"DVA","DaVita Inc.","X","X","X","X","X","X","X","X",""
"DVN","Devon Energy Corp.","X","X","X","X","X","X","X","X","X"
"DYN","Dynegy Inc.","","","","","","","","X","X"
"EA","Electronic Arts","X","X","X","X","X","X","X","X","X"
"EBAY","eBay Inc.","X","X","X","X","X","X","X","X","X"
"ECL","Ecolab Inc.","X","X","X","X","X","X","X","X","X"
"ED","Consolidated Edison","X","X","X","X","X","X","X","X","X"
"EDS","Electronics Data Systems","","","","","","","","","X"
"EFX","Equifax Inc.","X","X","X","X","X","X","X","X","X"
"EIX","Edison Int'l","X","X","X","X","X","X","X","X","X"
"EK","Eastman Kodak Co.","","","","","","","X","X","X"
"EL","Estee Lauder Cos.","X","X","X","X","X","X","X","X","X"
"EMC","EMC Corp.","X","X","X","X","X","X","X","X","X"
"EMN","Eastman Chemical","X","X","X","X","X","X","X","X","X"
"EMR","Emerson Electric Co","X","X","X","X","X","X","X","X","X"
"ENDP","Endo International plc","X","","","","","","","",""
"EOG","EOG Resources","X","X","X","X","X","X","X","X","X"
"EP","El Paso Corp.","","","","","X","X","X","X","X"
"EQ","Embarq Corp.","","","","","","","","X","X"
"EQIX","Equinix Inc","X","","","","","","","",""
"EQR","Equity Residential","X","X","X","X","X","X","X","X","X"
"EQT","EQT Corporation","X","X","X","X","X","X","X","X",""
"ES","Eversource Energy","X","X","X","X","X","X","X","",""
"ESRX","Express Scripts","X","X","X","X","X","X","X","X","X"
"ESS","Essex Property Trust Inc","X","X","","","","","","",""
"ESV","Ensco plc","X","X","X","X","","","","X","X"
"ETFC","E*Trade Financial Corp.","X","X","X","X","X","X","X","X","X"
"ETN","Eaton Corporation","X","X","X","X","X","X","X","X","X"
"ETR","Entergy Corp.","X","X","X","X","X","X","X","X","X"
"EW","Edwards Lifesciences","X","X","X","X","X","","","",""
"EXC","Exelon Corp.","X","X","X","X","X","X","X","X","X"
"EXPD","Expeditors Int'l","X","X","X","X","X","X","X","X","X"
"EXPE","Expedia Inc.","X","X","X","X","X","X","X","X","X"
"F","Ford Motor","X","X","X","X","X","X","X","X","X"
"FAST","Fastenal Co.","X","X","X","X","X","X","X","X",""
"FB","Facebook, Inc.","X","X","X","","","","","",""
"FCX","Freeport-McMoRan Inc.","X","X","X","X","X","X","X","X","X"
"FDO","Family Dollar Stores","","X","X","X","X","X","X","X","X"
"FDX","FedEx Corporation","X","X","X","X","X","X","X","X","X"
"FE","FirstEnergy Corp","X","X","X","X","X","X","X","X","X"
"FFIV","F5 Networks","X","X","X","X","X","X","","",""
"FHN","First Horizon","","","","X","X","X","X","X","X"
"FII","Federated Investors","","","","","X","X","X","X","X"
"FIS","Fidelity Nat. Info. Services","X","X","X","X","X","X","X","X","X"
"FISV","Fiserv Inc","X","X","X","X","X","X","X","X","X"
"FITB","Fifth Third Bancorp","X","X","X","X","X","X","X","X","X"
"FLIR","FLIR Systems","X","X","X","X","X","X","X","X",""
"FLR","Fluor Corp.","X","X","X","X","X","X","X","X","X"
"FLS","Flowserve Corporation","X","X","X","X","X","X","X","X",""
"FMC","FMC Corporation","X","X","X","X","X","X","X","",""
"FNM","Fannie Mae (FNMA)","","","","","","","","","X"
"FOSL","Fossil, Inc.","X","X","X","X","","","","",""
"FOX","Twenty-First Century Fox Inc Class B","X","","","","","","","",""
"FOXA","Twenty-First Century Fox","X","X","X","X","X","X","X","X","X"
"FRE","Freddie Mac (FHLMC)","","","","","","","","","X"
"FRX","Forest Laboratories","","","X","X","X","X","X","X","X"
"FSLR","First Solar Inc","X","X","X","X","X","X","X","",""
"FTI","FMC Technologies Inc.","X","X","X","X","X","X","X","",""
"FTR","Frontier Communications","X","X","X","X","X","X","X","X","X"
"GAS","AGL Resources Inc.","X","X","X","X","X","X","X","X","X"
"GCI","Gannett Co.","X","X","X","X","X","X","X","X","X"
"GD","General Dynamics","X","X","X","X","X","X","X","X","X"
"GE","General Electric","X","X","X","X","X","X","X","X","X"
"GENZ","Genzyme Corp.","","","","","","X","X","X","X"
"GGP","General Growth Properties","X","X","X","","","","","","X"
"GHC","Graham Holdings","","","X","X","X","X","X","X","X"
"GILD","Gilead Sciences","X","X","X","X","X","X","X","X","X"
"GIS","General Mills Inc.","X","X","X","X","X","X","X","X","X"
"GLW","Corning Inc.","X","X","X","X","X","X","X","X","X"
"GM","General Motors","X","X","X","","","","","X","X"
"GMCR","Keurig Green Mountain","X","X","","","","","","",""
"GME","GameStop Corp.","X","X","X","X","X","X","X","X","X"
"GNW","Genworth Financial Inc.","","X","X","X","X","X","X","X","X"
"GOOG","Alphabet Inc. Class C","X","X","","","","","","",""
"GOOGL","Alphabet Inc. Class A","X","X","X","X","X","X","X","X","X"
"GPC","Genuine Parts","X","X","X","X","X","X","X","X","X"
"GPS","Gap Inc.","X","X","X","X","X","X","X","X","X"
"GR","Goodrich Corp.","","","","","X","X","X","X","X"
"GRMN","Garmin Ltd.","X","X","X","X","","","","",""
"GS","Goldman Sachs Group","X","X","X","X","X","X","X","X","X"
"GT","Goodyear Tire & Rubber","X","X","X","X","X","X","X","X","X"
"GWW","W. W. Grainger, Inc.","X","X","X","X","X","X","X","X","X"
"HAL","Halliburton Co.","X","X","X","X","X","X","X","X","X"
"HAR","Harman Int'l Industries","X","X","X","X","X","X","X","X","X"
"HAS","Hasbro Inc.","X","X","X","X","X","X","X","X","X"
"HBAN","Huntington Bancshares","X","X","X","X","X","X","X","X","X"
"HBI","Hanesbrands Inc","X","","","","","","","",""
"HCA","HCA Inc.","X","","","","","","","",""
"HCBK","Hudson City Bancorp","","X","X","X","X","X","X","X","X"
"HCN","Welltower Inc","X","X","X","X","X","X","X","",""
"HCP","HCP Inc.","X","X","X","X","X","X","X","X",""
"HD","Home Depot","X","X","X","X","X","X","X","X","X"
"HES","Hess Corporation","X","X","X","X","X","X","X","X","X"
"HIG","Hartford Financial Services","X","X","X","X","X","X","X","X","X"
"HNZ","H. J. Heinz Company","","","","X","X","X","X","X","X"
"HOG","Harley-Davidson","X","X","X","X","X","X","X","X","X"
"HON","Honeywell Int'l Inc.","X","X","X","X","X","X","X","X","X"
"HOT","Starwood Hotels & Res","X","X","X","X","X","X","X","X","X"
"HP","Helmerich & Payne","X","X","X","X","X","X","","",""
"HPC","Hercules Inc.","","","","","","","","","X"
"HPE","Hewlett Packard Enterprise Co","X","","","","","","","",""
"HPQ","Hewlett-Packard Co","X","X","X","X","X","X","X","X","X"
"HRB","H&R Block, Inc.","X","X","X","X","X","X","X","X","X"
"HRL","Hormel Foods Corp.","X","X","X","X","X","X","X","",""
"HRS","Harris Corp.","X","X","X","X","X","X","X","X",""
"HSH","Hillshire Brands Co","","","","","X","X","X","X","X"
"HSIC","Henry Schein Inc","X","","","","","","","",""
"HSP","Hospira Inc.","","X","X","X","X","X","X","X","X"
"HST","Host Hotels & Resorts","X","X","X","X","X","X","X","X","X"
"HSY","The Hershey Company","X","X","X","X","X","X","X","X","X"
"HUM","Humana Inc.","X","X","X","X","X","X","X","X","X"
"IACI","IAC/InterActiveCorp","","","","","","","","","X"
"IBM","IBM Corp.","X","X","X","X","X","X","X","X","X"
"ICE","Intercontinental Exchange","X","X","X","X","X","X","X","X","X"
"IFF","Intl Flavors & Fragrances","X","X","X","X","X","X","X","X","X"
"IGT","International Game Tech.","","","X","X","X","X","X","X","X"
"IHRT","iHeartMedia Inc","","","","","","","","","X"
"ILMN","Illumina Inc","X","","","","","","","",""
"IMS","IMS Health Inc.","","","","","","","X","X","X"
"INTC","Intel Corp.","X","X","X","X","X","X","X","X","X"
"INTU","Intuit Inc.","X","X","X","X","X","X","X","X","X"
"IP","International Paper Co.","X","X","X","X","X","X","X","X","X"
"IPG","Interpublic Group","X","X","X","X","X","X","X","X","X"
"IR","Ingersoll-Rand PLC","X","X","X","X","X","X","","X","X"
"IRM","Iron Mountain Inc.","X","X","X","X","X","X","X","",""
"ISRG","Intuitive Surgical Inc.","X","X","X","X","X","X","X","X",""
"ITT","ITT Corp.","","","","","","X","X","X","X"
"ITW","Illinois Tool Works","X","X","X","X","X","X","X","X","X"
"IVZ","Invesco Ltd.","X","X","X","X","X","X","X","X",""
"JAVA","Sun Microsystems Inc","","","","","","","X","X","X"
"JBHT","J. B. Hunt Transport Services Inc.","X","","","","","","","",""
"JBL","Jabil Circuit","","","X","X","X","X","X","X","X"
"JCI","Johnson Controls","X","X","X","X","X","X","X","X","X"
"JCP","J.C. Penney","","","","X","X","X","X","X","X"
"JEC","Jacobs Engineering Group","X","X","X","X","X","X","X","X","X"
"JNJ","Johnson & Johnson","X","X","X","X","X","X","X","X","X"
"JNPR","Juniper Networks","X","X","X","X","X","X","X","X","X"
"JNS","Janus Capital Group","","","","","","X","X","X","X"
"JNY","Jones Apparel Group Inc.","","","","","","","","X","X"
"JOY","Joy Global Inc.","","X","X","X","X","","","",""
"JPM","JPMorgan Chase & Co.","X","X","X","X","X","X","X","X","X"
"JWN","Nordstrom","X","X","X","X","X","X","X","X","X"
"K","Kellogg Co.","X","X","X","X","X","X","X","X","X"
"KATE","Kate Spade & Co","","","","","","","","","X"
"KBH","KB Home","","","","","","","","X","X"
"KEY","KeyCorp","X","X","X","X","X","X","X","X","X"
"KG","King Pharmaceuticals Inc.","","","","","","","X","X","X"
"KHC","Kraft Heinz Co","X","X","X","X","","","","",""
"KIM","Kimco Realty","X","X","X","X","X","X","X","X","X"
"KLAC","KLA-Tencor Corp.","X","X","X","X","X","X","X","X","X"
"KMB","Kimberly-Clark","X","X","X","X","X","X","X","X","X"
"KMI","Kinder Morgan","X","X","X","X","","","","",""
"KMX","Carmax Inc.","X","X","X","X","X","X","","",""
"KO","The Coca Cola Co.","X","X","X","X","X","X","X","X","X"
"KORS","Michael Kors Holdings","X","X","X","","","","","",""
"KR","Kroger Co.","X","X","X","X","X","X","X","X","X"
"KSS","Kohl's Corp.","X","X","X","X","X","X","X","X","X"
"KSU","Kansas City Southern","X","X","X","","","","","",""
"L","Loews Corp.","X","X","X","X","X","X","X","X","X"
"LB","L Brands Inc.","X","X","X","X","X","X","X","X","X"
"LDOS","Leidos Holdings Inc","","","","X","X","X","X","",""
"LEG","Leggett & Platt","X","X","X","X","X","X","X","X","X"
"LEH","Lehman Brothers Holdings","","","","","","","","","X"
"LEN","Lennar Corp.","X","X","X","X","X","X","X","X","X"
"LH","LabCorp","X","X","X","X","X","X","X","X","X"
"LIFE","Life Technologies","","","X","X","X","X","X","X",""
"LLL","L-3 Comm's Holdings","X","X","X","X","X","X","X","X","X"
"LLTC","Linear Technology Corp.","X","X","X","X","X","X","X","X","X"
"LLY","Eli Lilly and Co.","X","X","X","X","X","X","X","X","X"
"LM","Legg Mason","X","X","X","X","X","X","X","X","X"
"LMT","Lockheed Martin Corp.","X","X","X","X","X","X","X","X","X"
"LNC","Lincoln National","X","X","X","X","X","X","X","X","X"
"LO","Lorillard Inc.","","X","X","X","X","X","X","X",""
"LOW","Lowe's Cos.","X","X","X","X","X","X","X","X","X"
"LRCX","Lam Research","X","X","X","X","","","","",""
"LSI","LSI Corporation","","","X","X","X","X","X","X","X"
"LUK","Leucadia National Corp.","X","X","X","X","X","X","X","X","X"
"LUV","Southwest Airlines","X","X","X","X","X","X","X","X","X"
"LVLT","Level 3 Comm's","X","X","","","","","","",""
"LXK","Lexmark Int'l Inc","","","","","X","X","X","X","X"
"LYB","LyondellBasell","X","X","X","X","","","","",""
"M","Macy's Inc.","X","X","X","X","X","X","X","X","X"
"MA","Mastercard Inc.","X","X","X","X","X","X","X","X",""
"MAC","Macerich","X","X","X","","","","","",""
"MAR","Marriott Int'l.","X","X","X","X","X","X","X","X","X"
"MAS","Masco Corp.","X","X","X","X","X","X","X","X","X"
"MAT","Mattel Inc.","X","X","X","X","X","X","X","X","X"
"MBI","MBIA Inc","","","","","","","","X","X"
"MCD","McDonald's Corp.","X","X","X","X","X","X","X","X","X"
"MCHP","Microchip Technology","X","X","X","X","X","X","X","X","X"
"MCK","McKesson Corp.","X","X","X","X","X","X","X","X","X"
"MCO","Moody's Corp","X","X","X","X","X","X","X","X","X"
"MDLZ","Mondelez Int'l","X","X","X","X","X","X","X","X","X"
"MDP","Meredith Corp.","","","","","","X","X","X","X"
"MDT","Medtronic Inc.","X","X","X","X","X","X","X","X","X"
"MEE","Massey Energy Co.","","","","","","X","X","X",""
"MER","Merrill Lynch","","","","","","","","","X"
"MET","MetLife Inc.","X","X","X","X","X","X","X","X","X"
"MFE","McAfee Inc.","","","","","","X","X","X",""
"MHFI","McGraw Hill Financial","X","X","X","X","X","X","X","X","X"
"MHK","Mohawk Industries","X","X","X","","","","","",""
"MHS","Medco Health Solutions","","","","","X","X","X","X","X"
"MI","Marshall & Iisley Corp.","","","","","","X","X","X","X"
"MIL","Millipore Inc.","","","","","","","X","X","X"
"MJN","Mead Johnson","X","X","X","X","X","X","X","",""
"MKC","McCormick & Co.","X","X","X","X","X","X","X","X","X"
"MLM","Martin Marietta Materials","X","X","","","","","","",""
"MMC","Marsh & McLennan","X","X","X","X","X","X","X","X","X"
"MMI","Motorola Mobility","","","","","X","","","",""
"MMM","3M Company","X","X","X","X","X","X","X","X","X"
"MNK","Mallinckrodt plc","X","X","","","","","","",""
"MNST","Monster Beverage","X","X","X","X","","","","",""
"MO","Altria Group Inc.","X","X","X","X","X","X","X","X","X"
"MOLX","Molex Inc.","","","","X","X","X","X","X","X"
"MON","Monsanto Co.","X","X","X","X","X","X","X","X","X"
"MOS","The Mosaic Co.","X","X","X","X","X","","","",""
"MPC","Marathon Petroleum","X","X","X","X","X","","","",""
"MRK","Merck & Co.","X","X","X","X","X","X","X","X","X"
"MRO","Marathon Oil Corp.","X","X","X","X","X","X","X","X","X"
"MS","Morgan Stanley","X","X","X","X","X","X","X","X","X"
"MSFT","Microsoft Corp.","X","X","X","X","X","X","X","X","X"
"MSI","Motorola Solutions Inc.","X","X","X","X","X","X","X","X","X"
"MTB","M&T Bank Corp.","X","X","X","X","X","X","X","X","X"
"MTG","MGIC Investment","","","","","","","","","X"
"MTW","The Manitowoc Company","","","","","","","","X","X"
"MU","Micron Technology","X","X","X","X","X","X","X","X","X"
"MUR","Murphy Oil","X","X","X","X","X","X","X","X","X"
"MWV","MeadWestvaco Corp.","X","X","X","X","X","X","X","X","X"
"MWW","Monster Worldwide Inc.","","","","","","X","X","X","X"
"MYL","Mylan Inc.","X","X","X","X","X","X","X","X","X"
"NAVI","Navient","X","X","","","","","","",""
"NBL","Noble Energy Inc.","X","X","X","X","X","X","X","X","X"
"NBR","Nabors Industries Ltd.","","X","X","X","X","X","X","X","X"
"NCC","National City Corp.","","","","","","","","","X"
"NDAQ","NASDAQ OMX Group","X","X","X","X","X","X","X","X",""
"NE","Noble Corp.","","X","X","X","X","","","X","X"
"NEE","NextEra Energy","X","X","X","X","X","X","X","X","X"
"NEM","Newmont Mining Corp.","X","X","X","X","X","X","X","X","X"
"NFLX","Netflix Inc.","X","X","X","X","X","X","","",""
"NFX","Newfield Exploration Co.","X","X","X","X","X","X","","",""
"NI","NiSource Inc.","X","X","X","X","X","X","X","X","X"
"NKE","Nike, Inc.","X","X","X","X","X","X","X","X","X"
"NLSN","Nielsen Holdings","X","X","X","","","","","",""
"NOC","Northrop Grumman Corp.","X","X","X","X","X","X","X","X","X"
"NOV","National Oilwell Varco Inc.","X","X","X","X","X","X","X","X","X"
