,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,Q
38,2.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,1,-4.9143356816
39,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,1,0.0
40,4.0,4.0,5.0,5.0,3.0,4.0,3.0,3.0,2.0,3.0,5.0,3.0,2.0,1.0,-1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,1,0.0
41,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1,2,0.0
42,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,2,0.0
43,4.0,5.0,5.0,4.0,5.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,0,1,0.0
44,2.0,5.0,5.0,3.0,3.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0,0,0.0
45,2.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,1.0,4.0,5.0,4.0,4.0,1.0,1.0,-1.0,1.0,-1.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0,0,0.0
46,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,1.0,1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0.0
47,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,2.0,5.0,3.0,3.0,1.0,1.0,-1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,1,2,59.4782960143
48,2.0,2.0,2.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0.0
49,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,-1.0,-1.0,1.0,-1.0,-1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1,2,0.0
50,3.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,-16.9949171789
51,2.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,-1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,2,0.0
